iter	Passed	Remaining
0	840	209271
1	1394	172968
2	1950	160627
3	2514	154670
4	3046	149259
5	3567	145096
6	4101	142380
7	4639	140347
8	5184	138840
9	5708	136992
10	6235	135473
11	6784	134564
12	7310	133285
13	7845	132245
14	8376	131233
15	8894	130079
16	9430	129252
17	9976	128589
18	10538	128125
19	11097	127616
20	11670	127264
21	12215	126592
22	12807	126409
23	13385	126050
24	13921	125297
25	14455	124537
26	15038	124207
27	15629	123921
28	16223	123633
29	16935	124195
30	17673	124853
31	18273	124491
32	18848	123945
33	19437	123484
34	19990	122800
35	20823	123783
36	21429	123363
37	21974	122591
38	22507	121772
39	23047	120998
40	23801	121327
41	24818	122911
42	25734	123884
43	26765	125313
44	27707	126220
45	28633	126984
46	29508	127450
47	30407	127964
48	31377	128711
49	32299	129198
50	33354	130148
51	34261	130459
52	35242	130994
53	36156	131234
54	37048	131352
55	38009	131675
56	38985	132001
57	39942	132223
58	40932	132511
59	41886	132641
60	42682	132245
61	43711	132543
62	44644	132515
63	45526	132311
64	46453	132213
65	47385	132105
66	48279	131868
67	49294	131934
68	50160	131581
69	51194	131642
70	52152	131484
71	53041	131131
72	54021	130984
73	55008	130831
74	55957	130567
75	56956	130399
76	57885	130054
77	58854	129781
78	59862	129574
79	60827	129258
80	61836	129017
81	62792	128647
82	63797	128363
83	64660	127782
84	65690	127516
85	66645	127091
86	67484	126436
87	68380	125882
88	69395	125535
89	70396	125149
90	71358	124681
91	72329	124218
92	73247	123654
93	74164	123082
94	75119	122564
95	76120	122109
96	77093	121600
97	77924	120862
98	78952	120422
99	79889	119833
100	80833	119249
101	81703	118550
102	82644	117949
103	83678	117471
104	84514	116711
105	85427	116051
106	86437	115519
107	87370	114876
108	88279	114196
109	89283	113634
110	90156	112899
111	91155	112316
112	92095	111655
113	93082	111045
114	94099	110464
115	95110	109868
116	96014	109144
117	96913	108411
118	97777	107637
119	98771	107001
120	99777	106374
121	100740	105694
122	101745	105054
123	102706	104362
124	103725	103725
125	104761	103099
126	105637	102310
127	106578	101582
128	107531	100863
129	108497	100151
130	109376	99357
131	110306	98607
132	111223	97843
133	112187	97117
134	113225	96451
135	114269	95784
136	115334	95129
137	116220	94324
138	117184	93578
139	118189	92863
140	119107	92076
141	120071	91321
142	120989	90530
143	121865	89706
144	122894	88992
145	123877	88241
146	124975	87567
147	125905	86772
148	126831	85972
149	127761	85174
150	128708	84384
151	129615	83567
152	130489	82728
153	131483	81963
154	132371	81131
155	133378	80368
156	134336	79575
157	135273	78766
158	136230	77968
159	137217	77185
160	138185	76388
161	139169	75598
162	140113	74784
163	141060	73970
164	142016	73159
165	143029	72376
166	143905	71521
167	144843	70697
168	145871	69914
169	146872	69116
170	147852	68306
171	148807	67482
172	149817	66681
173	150788	65861
174	151702	65015
175	152563	64145
176	153466	63294
177	154371	62442
178	155318	61606
179	156307	60786
180	157246	59944
181	158280	59137
182	159259	58308
183	160218	57469
184	161155	56622
185	162119	55783
186	163080	54941
187	164025	54093
188	165042	53267
189	166042	52434
190	167000	51586
191	167873	50711
192	168860	49870
193	169831	49023
194	170755	48161
195	171615	47281
196	172543	46420
197	173378	45533
198	174342	44680
199	175300	43825
200	176179	42949
201	177112	42086
202	178112	41237
203	179079	40380
204	180008	39513
205	180949	38649
206	181953	37797
207	182906	36933
208	183784	36053
209	184658	35173
210	185610	34307
211	186540	33436
212	187567	32582
213	188537	31716
214	189609	30866
215	190583	29999
216	191590	29135
217	192683	28283
218	193749	27425
219	194803	26564
220	195790	25692
221	196760	24816
222	197791	23947
223	198727	23066
224	199769	22196
225	200677	21310
226	201606	20427
227	202506	19540
228	203429	18655
229	204323	17767
230	205228	16880
231	206174	15996
232	207109	15111
233	208047	14225
234	209079	13345
235	209952	12454
236	210865	11566
237	211821	10680
238	212776	9793
239	213668	8902
240	214619	8014
241	215600	7127
242	216560	6238
243	217497	5348
244	218383	4456
245	219359	3566
246	220385	2676
247	221350	1785
248	222284	892
249	223199	0
